round,loss,loss_cls,loss_align,lambda_align,accuracy,Q_star,r,K_t,grad_return_count,feature_map_json
1,2.5011203289031982,2.4906702041625977,0.20900435745716095,0.05,0.08203125,3,4,12,12,"{""0:0"": ""client_011"", ""0:1"": ""client_010"", ""0:2"": ""client_014"", ""0:3"": ""client_019"", ""1:0"": ""client_023"", ""1:1"": ""client_022"", ""1:2"": ""client_021"", ""1:3"": ""client_025"", ""2:0"": ""client_008"", ""2:1"": ""client_001"", ""2:2"": ""client_006"", ""2:3"": ""client_000""}"
2,2.461235761642456,2.4497900009155273,0.2289162129163742,0.05,0.125,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_011"", ""0:2"": ""client_013"", ""0:3"": ""client_018"", ""1:0"": ""client_028"", ""1:1"": ""client_020"", ""1:2"": ""client_023"", ""1:3"": ""client_025"", ""2:0"": ""client_008"", ""2:1"": ""client_006"", ""2:2"": ""client_003"", ""2:3"": ""client_007""}"
3,2.4694983959198,2.4586830139160156,0.2163054645061493,0.05,0.12109375,3,4,12,12,"{""0:0"": ""client_019"", ""0:1"": ""client_014"", ""0:2"": ""client_010"", ""0:3"": ""client_016"", ""1:0"": ""client_022"", ""1:1"": ""client_026"", ""1:2"": ""client_025"", ""1:3"": ""client_029"", ""2:0"": ""client_002"", ""2:1"": ""client_003"", ""2:2"": ""client_005"", ""2:3"": ""client_000""}"
4,2.420471668243408,2.4096081256866455,0.21726980805397034,0.05,0.26171875,3,4,12,12,"{""0:0"": ""client_011"", ""0:1"": ""client_016"", ""0:2"": ""client_019"", ""0:3"": ""client_012"", ""1:0"": ""client_025"", ""1:1"": ""client_024"", ""1:2"": ""client_020"", ""1:3"": ""client_029"", ""2:0"": ""client_007"", ""2:1"": ""client_008"", ""2:2"": ""client_001"", ""2:3"": ""client_003""}"
5,2.364629030227661,2.3531501293182373,0.22957652807235718,0.05,0.33203125,3,4,12,12,"{""0:0"": ""client_011"", ""0:1"": ""client_018"", ""0:2"": ""client_014"", ""0:3"": ""client_016"", ""1:0"": ""client_029"", ""1:1"": ""client_025"", ""1:2"": ""client_023"", ""1:3"": ""client_028"", ""2:0"": ""client_001"", ""2:1"": ""client_000"", ""2:2"": ""client_003"", ""2:3"": ""client_006""}"
6,2.3957743644714355,2.3851022720336914,0.2134438306093216,0.05,0.2109375,3,4,12,12,"{""0:0"": ""client_014"", ""0:1"": ""client_011"", ""0:2"": ""client_013"", ""0:3"": ""client_016"", ""1:0"": ""client_021"", ""1:1"": ""client_026"", ""1:2"": ""client_024"", ""1:3"": ""client_023"", ""2:0"": ""client_005"", ""2:1"": ""client_002"", ""2:2"": ""client_009"", ""2:3"": ""client_008""}"
7,2.3512372970581055,2.3395752906799316,0.23323817551136017,0.05,0.37890625,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_014"", ""0:2"": ""client_011"", ""0:3"": ""client_018"", ""1:0"": ""client_022"", ""1:1"": ""client_028"", ""1:2"": ""client_023"", ""1:3"": ""client_021"", ""2:0"": ""client_007"", ""2:1"": ""client_006"", ""2:2"": ""client_004"", ""2:3"": ""client_005""}"
8,2.3410115242004395,2.3289270401000977,0.24168774485588074,0.05,0.31640625,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_013"", ""0:2"": ""client_015"", ""0:3"": ""client_016"", ""1:0"": ""client_020"", ""1:1"": ""client_023"", ""1:2"": ""client_029"", ""1:3"": ""client_026"", ""2:0"": ""client_005"", ""2:1"": ""client_006"", ""2:2"": ""client_004"", ""2:3"": ""client_000""}"
9,2.3134305477142334,2.301635265350342,0.23590637743473053,0.05,0.390625,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_015"", ""0:2"": ""client_019"", ""0:3"": ""client_018"", ""1:0"": ""client_027"", ""1:1"": ""client_026"", ""1:2"": ""client_029"", ""1:3"": ""client_021"", ""2:0"": ""client_004"", ""2:1"": ""client_002"", ""2:2"": ""client_003"", ""2:3"": ""client_005""}"
10,2.2475666999816895,2.2350263595581055,0.2508080303668976,0.05,0.484375,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_019"", ""0:2"": ""client_014"", ""0:3"": ""client_015"", ""1:0"": ""client_029"", ""1:1"": ""client_026"", ""1:2"": ""client_028"", ""1:3"": ""client_022"", ""2:0"": ""client_003"", ""2:1"": ""client_002"", ""2:2"": ""client_007"", ""2:3"": ""client_000""}"
