round,loss,loss_cls,loss_align,lambda_align,accuracy,Q_star,r,K_t,grad_return_count,feature_map_json
1,2.4979476928710938,2.4881386756896973,0.19617906212806702,0.05,0.05859375,3,4,12,12,"{""0:0"": ""client_011"", ""0:1"": ""client_010"", ""0:2"": ""client_014"", ""0:3"": ""client_019"", ""1:0"": ""client_023"", ""1:1"": ""client_022"", ""1:2"": ""client_021"", ""1:3"": ""client_025"", ""2:0"": ""client_008"", ""2:1"": ""client_001"", ""2:2"": ""client_006"", ""2:3"": ""client_000""}"
2,2.4772837162017822,2.4669432640075684,0.20680572092533112,0.05,0.1328125,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_011"", ""0:2"": ""client_013"", ""0:3"": ""client_018"", ""1:0"": ""client_028"", ""1:1"": ""client_020"", ""1:2"": ""client_023"", ""1:3"": ""client_025"", ""2:0"": ""client_008"", ""2:1"": ""client_006"", ""2:2"": ""client_003"", ""2:3"": ""client_007""}"
3,2.4756646156311035,2.465054512023926,0.212201327085495,0.05,0.140625,3,4,12,12,"{""0:0"": ""client_019"", ""0:1"": ""client_014"", ""0:2"": ""client_010"", ""0:3"": ""client_016"", ""1:0"": ""client_022"", ""1:1"": ""client_026"", ""1:2"": ""client_025"", ""1:3"": ""client_029"", ""2:0"": ""client_002"", ""2:1"": ""client_003"", ""2:2"": ""client_005"", ""2:3"": ""client_000""}"
4,2.4483699798583984,2.4386250972747803,0.19489331543445587,0.05,0.21875,3,4,12,12,"{""0:0"": ""client_011"", ""0:1"": ""client_016"", ""0:2"": ""client_019"", ""0:3"": ""client_012"", ""1:0"": ""client_025"", ""1:1"": ""client_024"", ""1:2"": ""client_020"", ""1:3"": ""client_029"", ""2:0"": ""client_007"", ""2:1"": ""client_008"", ""2:2"": ""client_001"", ""2:3"": ""client_003""}"
5,2.422574996948242,2.411712408065796,0.21725524961948395,0.05,0.21484375,3,4,12,12,"{""0:0"": ""client_011"", ""0:1"": ""client_018"", ""0:2"": ""client_014"", ""0:3"": ""client_016"", ""1:0"": ""client_029"", ""1:1"": ""client_025"", ""1:2"": ""client_023"", ""1:3"": ""client_028"", ""2:0"": ""client_001"", ""2:1"": ""client_000"", ""2:2"": ""client_003"", ""2:3"": ""client_006""}"
6,2.444443464279175,2.4340548515319824,0.20777098834514618,0.05,0.16015625,3,4,12,12,"{""0:0"": ""client_014"", ""0:1"": ""client_011"", ""0:2"": ""client_013"", ""0:3"": ""client_016"", ""1:0"": ""client_021"", ""1:1"": ""client_026"", ""1:2"": ""client_024"", ""1:3"": ""client_023"", ""2:0"": ""client_005"", ""2:1"": ""client_002"", ""2:2"": ""client_009"", ""2:3"": ""client_008""}"
7,2.4175539016723633,2.406707525253296,0.21692827343940735,0.05,0.171875,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_014"", ""0:2"": ""client_011"", ""0:3"": ""client_018"", ""1:0"": ""client_022"", ""1:1"": ""client_028"", ""1:2"": ""client_023"", ""1:3"": ""client_021"", ""2:0"": ""client_007"", ""2:1"": ""client_006"", ""2:2"": ""client_004"", ""2:3"": ""client_005""}"
8,2.4138295650482178,2.4023666381835938,0.22926065325737,0.05,0.1484375,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_013"", ""0:2"": ""client_015"", ""0:3"": ""client_016"", ""1:0"": ""client_020"", ""1:1"": ""client_023"", ""1:2"": ""client_029"", ""1:3"": ""client_026"", ""2:0"": ""client_005"", ""2:1"": ""client_006"", ""2:2"": ""client_004"", ""2:3"": ""client_000""}"
9,2.3824946880340576,2.3727104663848877,0.1956833153963089,0.05,0.203125,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_015"", ""0:2"": ""client_019"", ""0:3"": ""client_018"", ""1:0"": ""client_027"", ""1:1"": ""client_026"", ""1:2"": ""client_029"", ""1:3"": ""client_021"", ""2:0"": ""client_004"", ""2:1"": ""client_002"", ""2:2"": ""client_003"", ""2:3"": ""client_005""}"
10,2.342385768890381,2.3306057453155518,0.2355985939502716,0.05,0.16796875,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_019"", ""0:2"": ""client_014"", ""0:3"": ""client_015"", ""1:0"": ""client_029"", ""1:1"": ""client_026"", ""1:2"": ""client_028"", ""1:3"": ""client_022"", ""2:0"": ""client_003"", ""2:1"": ""client_002"", ""2:2"": ""client_007"", ""2:3"": ""client_000""}"
