round,loss,loss_cls,loss_align,lambda_align,accuracy,Q_star,r,K_t,grad_return_count,feature_map_json
11,2.438002586364746,2.437995195388794,0.0007485506357625127,0.01,0.19921875,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_014"", ""0:2"": ""client_019"", ""0:3"": ""client_011"", ""1:0"": ""client_028"", ""1:1"": ""client_020"", ""1:2"": ""client_025"", ""1:3"": ""client_022"", ""2:0"": ""client_003"", ""2:1"": ""client_007"", ""2:2"": ""client_009"", ""2:3"": ""client_000""}"
12,2.4182450771331787,2.4182348251342773,0.0010304264724254608,0.01,0.171875,3,4,12,12,"{""0:0"": ""client_015"", ""0:1"": ""client_016"", ""0:2"": ""client_010"", ""0:3"": ""client_017"", ""1:0"": ""client_027"", ""1:1"": ""client_024"", ""1:2"": ""client_023"", ""1:3"": ""client_029"", ""2:0"": ""client_002"", ""2:1"": ""client_005"", ""2:2"": ""client_006"", ""2:3"": ""client_004""}"
13,2.415606737136841,2.4155938625335693,0.0012903533643111587,0.01,0.18489583333333334,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_012"", ""0:2"": ""client_013"", ""0:3"": ""client_014"", ""1:0"": ""client_021"", ""1:1"": ""client_026"", ""1:2"": ""client_027"", ""1:3"": ""client_029"", ""2:0"": ""client_008"", ""2:1"": ""client_001"", ""2:2"": ""client_004"", ""2:3"": ""client_005""}"
14,2.4038310050964355,2.4038126468658447,0.0018428891198709607,0.01,0.1875,3,4,12,12,"{""0:0"": ""client_011"", ""0:1"": ""client_019"", ""0:2"": ""client_016"", ""0:3"": ""client_015"", ""1:0"": ""client_025"", ""1:1"": ""client_020"", ""1:2"": ""client_022"", ""1:3"": ""client_023"", ""2:0"": ""client_003"", ""2:1"": ""client_009"", ""2:2"": ""client_006"", ""2:3"": ""client_002""}"
15,2.395589590072632,2.395564317703247,0.0025376600679010153,0.01,0.19270833333333334,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_017"", ""0:2"": ""client_018"", ""0:3"": ""client_012"", ""1:0"": ""client_028"", ""1:1"": ""client_024"", ""1:2"": ""client_026"", ""1:3"": ""client_021"", ""2:0"": ""client_000"", ""2:1"": ""client_007"", ""2:2"": ""client_008"", ""2:3"": ""client_001""}"
16,2.3847596645355225,2.3847200870513916,0.00396132143214345,0.01,0.21614583333333334,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_013"", ""0:2"": ""client_012"", ""0:3"": ""client_015"", ""1:0"": ""client_025"", ""1:1"": ""client_020"", ""1:2"": ""client_029"", ""1:3"": ""client_021"", ""2:0"": ""client_001"", ""2:1"": ""client_002"", ""2:2"": ""client_007"", ""2:3"": ""client_000""}"
17,2.379424571990967,2.379368543624878,0.00561130465939641,0.01,0.20182291666666666,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_014"", ""0:2"": ""client_016"", ""0:3"": ""client_019"", ""1:0"": ""client_023"", ""1:1"": ""client_026"", ""1:2"": ""client_027"", ""1:3"": ""client_024"", ""2:0"": ""client_008"", ""2:1"": ""client_009"", ""2:2"": ""client_003"", ""2:3"": ""client_005""}"
18,2.384232521057129,2.3841617107391357,0.007076126988977194,0.01,0.20572916666666666,3,4,12,12,"{""0:0"": ""client_017"", ""0:1"": ""client_011"", ""0:2"": ""client_013"", ""0:3"": ""client_012"", ""1:0"": ""client_022"", ""1:1"": ""client_028"", ""1:2"": ""client_024"", ""1:3"": ""client_025"", ""2:0"": ""client_006"", ""2:1"": ""client_004"", ""2:2"": ""client_007"", ""2:3"": ""client_001""}"
19,2.355700731277466,2.3555896282196045,0.011112182401120663,0.01,0.20182291666666666,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_019"", ""0:2"": ""client_016"", ""0:3"": ""client_014"", ""1:0"": ""client_027"", ""1:1"": ""client_026"", ""1:2"": ""client_029"", ""1:3"": ""client_021"", ""2:0"": ""client_000"", ""2:1"": ""client_009"", ""2:2"": ""client_005"", ""2:3"": ""client_002""}"
20,2.3557448387145996,2.355602979660034,0.014174383133649826,0.01,0.20703125,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_015"", ""0:2"": ""client_017"", ""0:3"": ""client_011"", ""1:0"": ""client_023"", ""1:1"": ""client_020"", ""1:2"": ""client_028"", ""1:3"": ""client_022"", ""2:0"": ""client_008"", ""2:1"": ""client_003"", ""2:2"": ""client_006"", ""2:3"": ""client_004""}"
21,2.290651798248291,2.2904722690582275,0.017941948026418686,0.01,0.23567708333333334,3,4,12,12,"{""0:0"": ""client_019"", ""0:1"": ""client_014"", ""0:2"": ""client_017"", ""0:3"": ""client_012"", ""1:0"": ""client_029"", ""1:1"": ""client_024"", ""1:2"": ""client_025"", ""1:3"": ""client_026"", ""2:0"": ""client_005"", ""2:1"": ""client_000"", ""2:2"": ""client_004"", ""2:3"": ""client_002""}"
22,2.329930067062378,2.329713821411133,0.02163369208574295,0.01,0.2421875,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_015"", ""0:2"": ""client_010"", ""0:3"": ""client_011"", ""1:0"": ""client_022"", ""1:1"": ""client_023"", ""1:2"": ""client_028"", ""1:3"": ""client_021"", ""2:0"": ""client_006"", ""2:1"": ""client_009"", ""2:2"": ""client_001"", ""2:3"": ""client_007""}"
23,2.3103747367858887,2.3100903034210205,0.028440872207283974,0.01,0.21614583333333334,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_016"", ""0:2"": ""client_018"", ""0:3"": ""client_012"", ""1:0"": ""client_020"", ""1:1"": ""client_027"", ""1:2"": ""client_029"", ""1:3"": ""client_025"", ""2:0"": ""client_008"", ""2:1"": ""client_003"", ""2:2"": ""client_009"", ""2:3"": ""client_001""}"
24,2.249119281768799,2.2487714290618896,0.0347948856651783,0.01,0.23828125,3,4,12,12,"{""0:0"": ""client_014"", ""0:1"": ""client_015"", ""0:2"": ""client_010"", ""0:3"": ""client_019"", ""1:0"": ""client_024"", ""1:1"": ""client_028"", ""1:2"": ""client_021"", ""1:3"": ""client_023"", ""2:0"": ""client_007"", ""2:1"": ""client_005"", ""2:2"": ""client_002"", ""2:3"": ""client_004""}"
25,2.28411602973938,2.283712863922119,0.040322866290807724,0.01,0.234375,3,4,12,12,"{""0:0"": ""client_017"", ""0:1"": ""client_011"", ""0:2"": ""client_013"", ""0:3"": ""client_016"", ""1:0"": ""client_026"", ""1:1"": ""client_022"", ""1:2"": ""client_020"", ""1:3"": ""client_027"", ""2:0"": ""client_006"", ""2:1"": ""client_000"", ""2:2"": ""client_003"", ""2:3"": ""client_008""}"
26,2.242208242416382,2.241746425628662,0.04618589207530022,0.01,0.22786458333333334,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_016"", ""0:2"": ""client_019"", ""0:3"": ""client_015"", ""1:0"": ""client_025"", ""1:1"": ""client_023"", ""1:2"": ""client_022"", ""1:3"": ""client_028"", ""2:0"": ""client_006"", ""2:1"": ""client_004"", ""2:2"": ""client_009"", ""2:3"": ""client_000""}"
27,2.1944937705993652,2.1940228939056396,0.04707903042435646,0.01,0.24869791666666666,3,4,12,12,"{""0:0"": ""client_017"", ""0:1"": ""client_010"", ""0:2"": ""client_011"", ""0:3"": ""client_014"", ""1:0"": ""client_021"", ""1:1"": ""client_026"", ""1:2"": ""client_024"", ""1:3"": ""client_027"", ""2:0"": ""client_003"", ""2:1"": ""client_007"", ""2:2"": ""client_005"", ""2:3"": ""client_008""}"
28,2.1985666751861572,2.1980299949645996,0.05366163328289986,0.01,0.23307291666666666,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_012"", ""0:2"": ""client_016"", ""0:3"": ""client_018"", ""1:0"": ""client_029"", ""1:1"": ""client_020"", ""1:2"": ""client_027"", ""1:3"": ""client_026"", ""2:0"": ""client_001"", ""2:1"": ""client_002"", ""2:2"": ""client_003"", ""2:3"": ""client_005""}"
29,2.137000799179077,2.136439323425293,0.056142278015613556,0.01,0.26953125,3,4,12,12,"{""0:0"": ""client_017"", ""0:1"": ""client_014"", ""0:2"": ""client_015"", ""0:3"": ""client_011"", ""1:0"": ""client_022"", ""1:1"": ""client_021"", ""1:2"": ""client_028"", ""1:3"": ""client_024"", ""2:0"": ""client_006"", ""2:1"": ""client_008"", ""2:2"": ""client_004"", ""2:3"": ""client_009""}"
30,2.1914355754852295,2.1908371448516846,0.059849705547094345,0.01,0.22265625,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_019"", ""0:2"": ""client_012"", ""0:3"": ""client_013"", ""1:0"": ""client_023"", ""1:1"": ""client_025"", ""1:2"": ""client_020"", ""1:3"": ""client_029"", ""2:0"": ""client_007"", ""2:1"": ""client_000"", ""2:2"": ""client_002"", ""2:3"": ""client_001""}"
31,2.0994765758514404,2.0988852977752686,0.05911778658628464,0.01,0.2669270833333333,3,4,12,12,"{""0:0"": ""client_017"", ""0:1"": ""client_010"", ""0:2"": ""client_014"", ""0:3"": ""client_016"", ""1:0"": ""client_026"", ""1:1"": ""client_023"", ""1:2"": ""client_025"", ""1:3"": ""client_029"", ""2:0"": ""client_000"", ""2:1"": ""client_008"", ""2:2"": ""client_007"", ""2:3"": ""client_006""}"
32,2.1086008548736572,2.1079137325286865,0.06870076805353165,0.01,0.24479166666666666,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_019"", ""0:2"": ""client_012"", ""0:3"": ""client_015"", ""1:0"": ""client_020"", ""1:1"": ""client_022"", ""1:2"": ""client_027"", ""1:3"": ""client_021"", ""2:0"": ""client_001"", ""2:1"": ""client_002"", ""2:2"": ""client_005"", ""2:3"": ""client_003""}"
33,2.0685272216796875,2.0679757595062256,0.05514999479055405,0.01,0.2825520833333333,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_011"", ""0:2"": ""client_019"", ""0:3"": ""client_017"", ""1:0"": ""client_024"", ""1:1"": ""client_028"", ""1:2"": ""client_021"", ""1:3"": ""client_020"", ""2:0"": ""client_009"", ""2:1"": ""client_004"", ""2:2"": ""client_006"", ""2:3"": ""client_005""}"
34,2.0378530025482178,2.0371153354644775,0.07377505302429199,0.01,0.2643229166666667,3,4,12,12,"{""0:0"": ""client_016"", ""0:1"": ""client_018"", ""0:2"": ""client_012"", ""0:3"": ""client_015"", ""1:0"": ""client_027"", ""1:1"": ""client_026"", ""1:2"": ""client_023"", ""1:3"": ""client_025"", ""2:0"": ""client_003"", ""2:1"": ""client_008"", ""2:2"": ""client_007"", ""2:3"": ""client_000""}"
35,2.0407097339630127,2.040003538131714,0.07061988115310669,0.01,0.2630208333333333,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_014"", ""0:2"": ""client_013"", ""0:3"": ""client_011"", ""1:0"": ""client_029"", ""1:1"": ""client_022"", ""1:2"": ""client_028"", ""1:3"": ""client_024"", ""2:0"": ""client_002"", ""2:1"": ""client_001"", ""2:2"": ""client_004"", ""2:3"": ""client_009""}"
36,2.009476900100708,2.0087552070617676,0.07218100875616074,0.01,0.2565104166666667,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_017"", ""0:2"": ""client_018"", ""0:3"": ""client_011"", ""1:0"": ""client_023"", ""1:1"": ""client_022"", ""1:2"": ""client_020"", ""1:3"": ""client_027"", ""2:0"": ""client_009"", ""2:1"": ""client_008"", ""2:2"": ""client_004"", ""2:3"": ""client_001""}"
