global_round,round,loss,train_total_loss,mean_loss,classification_loss,train_classification_loss,contrastive_loss,train_contrastive_loss,heterogeneous_loss,train_heterogeneous_loss,weighted_classification_loss,weighted_contrastive_loss,weighted_heterogeneous_loss,accuracy,train_accuracy,macro_f1,train_macro_f1,weighted_f1,K_t,pseudo_batch_size,pseudo_yield,total_pseudo_samples,mean_pseudo_batch_size,common_labels_json,local_step_common_labels_json,binding_success,empty_binding_round,empty_binding,empty_binding_rounds,binding_success_rate,configured_local_steps,attempted_local_steps,effective_local_steps,empty_binding_local_steps,round_binding_success_rate,coverage,cluster_slot_coverage,participation_fairness,latency,server_update_l1,client_update_l1,fusion_training_objective,binding_confidence_mean,selected_client_ids,selected_cluster_ids,expected_cluster_ids,clients_per_cluster_per_round,per_cluster_selected_json,round_status
11,11,4.1463470458984375,4.1463470458984375,4.1463470458984375,2.4720659255981445,2.4720659255981445,4.322633743286133,4.322633743286133,2.484035015106201,2.484035015106201,2.4720659255981445,0.4322633743286133,1.2420175075531006,0.109375,0.109375,0.036346516007532956,0.036346516007532956,0.03255649717514124,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.968,0.6469377940520644,0.2679547071456909,415.9527123729931,mmbind_weighted_contrastive,1.0,"[""client_034"", ""client_038"", ""client_012"", ""client_018"", ""client_007"", ""client_027"", ""client_000"", ""client_021""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
12,12,4.135502815246582,4.135502815246582,4.135502815246582,2.4679548740386963,2.4679548740386963,4.278192043304443,4.278192043304443,2.479456901550293,2.479456901550293,2.4679548740386963,0.42781922221183777,1.2397284507751465,0.109375,0.109375,0.055327868852459015,0.055327868852459015,0.06749487704918032,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.96,0.6856323000974953,0.24633285403251648,408.07556368989754,mmbind_weighted_contrastive,1.0,"[""client_026"", ""client_002"", ""client_029"", ""client_001"", ""client_033"", ""client_014"", ""client_017"", ""client_031""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
13,13,4.128549575805664,4.128549575805664,4.128549575805664,2.4593513011932373,2.4593513011932373,4.315211772918701,4.315211772918701,2.4753544330596924,2.4753544330596924,2.4593513011932373,0.4315211772918701,1.2376772165298462,0.140625,0.140625,0.03872053872053872,0.03872053872053872,0.04071969696969697,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.9657142857142857,0.652191867120564,0.21495333313941956,405.9388973892492,mmbind_weighted_contrastive,1.0,"[""client_013"", ""client_006"", ""client_024"", ""client_036"", ""client_028"", ""client_016"", ""client_032"", ""client_009""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
14,14,4.12507438659668,4.12507438659668,4.12507438659668,2.451653480529785,2.451653480529785,4.332054615020752,4.332054615020752,2.480431079864502,2.480431079864502,2.451653480529785,0.4332054555416107,1.240215539932251,0.203125,0.203125,0.15966688678553084,0.15966688678553084,0.14805160411622276,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.98,0.6536465468816459,0.1180819571018219,408.0732258854259,mmbind_weighted_contrastive,1.0,"[""client_011"", ""client_019"", ""client_003"", ""client_008"", ""client_035"", ""client_025"", ""client_030"", ""client_022""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
15,15,4.131943702697754,4.131943702697754,4.131943702697754,2.464522123336792,2.464522123336792,4.26945161819458,4.26945161819458,2.480952739715576,2.480952739715576,2.464522123336792,0.42694517970085144,1.240476369857788,0.109375,0.109375,0.03896103896103896,0.03896103896103896,0.04383116883116883,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,1.0,0.654116434045136,0.08434823155403137,398.9285901658004,mmbind_weighted_contrastive,1.0,"[""client_005"", ""client_020"", ""client_039"", ""client_015"", ""client_010"", ""client_037"", ""client_023"", ""client_004""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
16,16,4.119904518127441,4.119904518127441,4.119904518127441,2.4489808082580566,2.4489808082580566,4.358001232147217,4.358001232147217,2.470247507095337,2.470247507095337,2.4489808082580566,0.43580013513565063,1.2351237535476685,0.09375,0.09375,0.015810276679841896,0.015810276679841896,0.016304347826086956,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.9846153846153847,0.647583520039916,0.046848446130752563,405.3089741882577,mmbind_weighted_contrastive,1.0,"[""client_017"", ""client_036"", ""client_023"", ""client_033"", ""client_028"", ""client_011"", ""client_000"", ""client_007""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
17,17,4.10880708694458,4.10880708694458,4.10880708694458,2.438961982727051,2.438961982727051,4.343582630157471,4.343582630157471,2.470973253250122,2.470973253250122,2.438961982727051,0.43435826897621155,1.235486626625061,0.15625,0.15625,0.041666666666666664,0.041666666666666664,0.0625,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.9796610169491525,0.6412306441925466,0.034058570861816406,413.6175775589072,mmbind_weighted_contrastive,1.0,"[""client_021"", ""client_027"", ""client_030"", ""client_010"", ""client_019"", ""client_031"", ""client_008"", ""client_001""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
18,18,4.10272741317749,4.10272741317749,4.10272741317749,2.430647373199463,2.430647373199463,4.380561828613281,4.380561828613281,2.468047618865967,2.468047618865967,2.430647373199463,0.43805620074272156,1.2340238094329834,0.21875,0.21875,0.1411764705882353,0.1411764705882353,0.1324142156862745,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.9818181818181818,0.6448527881875634,0.11455538868904114,401.4477357325377,mmbind_weighted_contrastive,1.0,"[""client_038"", ""client_003"", ""client_035"", ""client_002"", ""client_029"", ""client_014"", ""client_026"", ""client_015""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
19,19,4.122687816619873,4.122687816619873,4.122687816619873,2.4522862434387207,2.4522862434387207,4.307689189910889,4.307689189910889,2.479264974594116,2.479264974594116,2.4522862434387207,0.4307689368724823,1.239632487297058,0.109375,0.109375,0.06111111111111111,0.06111111111111111,0.06524621212121212,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.989041095890411,0.7389444732107222,0.15591010451316833,400.0832546406018,mmbind_weighted_contrastive,1.0,"[""client_005"", ""client_016"", ""client_006"", ""client_024"", ""client_013"", ""client_032"", ""client_037"", ""client_022""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
20,20,4.129796504974365,4.129796504974365,4.129796504974365,2.4596550464630127,2.4596550464630127,4.301302909851074,4.301302909851074,2.480022430419922,2.480022430419922,2.4596550464630127,0.4301303029060364,1.240011215209961,0.0625,0.0625,0.009950248756218905,0.009950248756218905,0.009328358208955223,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,1.0,0.7157479198649526,0.15505966544151306,399.82298553327564,mmbind_weighted_contrastive,1.0,"[""client_025"", ""client_004"", ""client_012"", ""client_039"", ""client_009"", ""client_020"", ""client_018"", ""client_034""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
21,21,4.089553356170654,4.089553356170654,4.089553356170654,2.4253785610198975,2.4253785610198975,4.319870471954346,4.319870471954346,2.4643752574920654,2.4643752574920654,2.4253785610198975,0.43198704719543457,1.2321876287460327,0.09375,0.09375,0.044966471437059674,0.044966471437059674,0.059177316760037346,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.9910112359550561,0.6575141698122025,0.1990346610546112,399.2408105127979,mmbind_weighted_contrastive,1.0,"[""client_032"", ""client_025"", ""client_000"", ""client_010"", ""client_023"", ""client_009"", ""client_017"", ""client_031""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
22,22,4.100755214691162,4.100755214691162,4.100755214691162,2.4381778240203857,2.4381778240203857,4.254952907562256,4.254952907562256,2.474163770675659,2.474163770675659,2.4381778240203857,0.42549529671669006,1.2370818853378296,0.015625,0.015625,0.0032467532467532465,0.0032467532467532465,0.0005580357142857143,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.9877551020408163,0.7287926077842712,0.2271171510219574,397.68321083066985,mmbind_weighted_contrastive,1.0,"[""client_011"", ""client_035"", ""client_003"", ""client_019"", ""client_001"", ""client_024"", ""client_028"", ""client_038""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
23,23,4.099515914916992,4.099515914916992,4.099515914916992,2.434147834777832,2.434147834777832,4.301314830780029,4.301314830780029,2.4704737663269043,2.4704737663269043,2.434147834777832,0.4301314949989319,1.2352368831634521,0.109375,0.109375,0.07482517482517483,0.07482517482517483,0.08269230769230769,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.9887850467289719,0.6687648589722812,0.23710745573043823,401.14398053471814,mmbind_weighted_contrastive,1.0,"[""client_014"", ""client_005"", ""client_004"", ""client_018"", ""client_021"", ""client_022"", ""client_037"", ""client_033""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
24,24,4.106786727905273,4.106786727905273,4.106786727905273,2.44478178024292,2.44478178024292,4.237123012542725,4.237123012542725,2.476585865020752,2.476585865020752,2.44478178024292,0.4237123131752014,1.238292932510376,0.09375,0.09375,0.049999999999999996,0.049999999999999996,0.059375,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.993103448275862,0.6753089209087193,0.2531968951225281,402.836604079901,mmbind_weighted_contrastive,1.0,"[""client_030"", ""client_026"", ""client_016"", ""client_012"", ""client_039"", ""client_002"", ""client_029"", ""client_007""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
25,25,4.095093727111816,4.095093727111816,4.095093727111816,2.430144786834717,2.430144786834717,4.345771789550781,4.345771789550781,2.4607436656951904,2.4607436656951904,2.430144786834717,0.43457719683647156,1.2303718328475952,0.140625,0.140625,0.09121863799283154,0.09121863799283154,0.10426747311827957,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,1.0,0.650271899998188,0.2879364490509033,398.75612614359125,mmbind_weighted_contrastive,1.0,"[""client_008"", ""client_013"", ""client_036"", ""client_006"", ""client_027"", ""client_034"", ""client_015"", ""client_020""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
26,26,4.069958209991455,4.069958209991455,4.069958209991455,2.4115264415740967,2.4115264415740967,4.241363048553467,4.241363048553467,2.46859073638916,2.46859073638916,2.4115264415740967,0.42413631081581116,1.23429536819458,0.171875,0.171875,0.16921401039048098,0.16921401039048098,0.17702362996480642,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.9941176470588236,0.6476740906946361,0.3724108636379242,391.4489692180359,mmbind_weighted_contrastive,1.0,"[""client_022"", ""client_015"", ""client_026"", ""client_000"", ""client_008"", ""client_035"", ""client_030"", ""client_011""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
27,27,4.104384422302246,4.104384422302246,4.104384422302246,2.4375574588775635,2.4375574588775635,4.313063144683838,4.313063144683838,2.471041202545166,2.471041202545166,2.4375574588775635,0.4313063323497772,1.235520601272583,0.171875,0.171875,0.10432098765432098,0.10432098765432098,0.08738425925925924,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.9918367346938776,0.6439766958355904,0.3733280599117279,397.32516806724016,mmbind_weighted_contrastive,1.0,"[""client_001"", ""client_016"", ""client_014"", ""client_009"", ""client_032"", ""client_028"", ""client_038"", ""client_020""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
