round,loss,loss_cls,loss_align,lambda_align,accuracy,Q_star,r,K_t,grad_return_count,feature_map_json
77,0.8303977251052856,0.8182640671730042,0.242672860622406,0.05,0.51953125,2,4,8,8,"{""0:0"": ""client_006"", ""0:1"": ""client_001"", ""0:2"": ""client_009"", ""0:3"": ""client_008"", ""1:0"": ""client_018"", ""1:1"": ""client_012"", ""1:2"": ""client_015"", ""1:3"": ""client_011""}"
78,0.8173418045043945,0.8030868768692017,0.2850991189479828,0.05,0.568359375,2,4,8,8,"{""0:0"": ""client_007"", ""0:1"": ""client_002"", ""0:2"": ""client_004"", ""0:3"": ""client_000"", ""1:0"": ""client_017"", ""1:1"": ""client_014"", ""1:2"": ""client_019"", ""1:3"": ""client_010""}"
79,0.8228938579559326,0.8119733929634094,0.21840925514698029,0.05,0.595703125,2,4,8,8,"{""0:0"": ""client_005"", ""0:1"": ""client_003"", ""0:2"": ""client_006"", ""0:3"": ""client_009"", ""1:0"": ""client_015"", ""1:1"": ""client_013"", ""1:2"": ""client_012"", ""1:3"": ""client_018""}"
80,0.8204941153526306,0.8087596893310547,0.23468904197216034,0.05,0.580078125,2,4,8,8,"{""0:0"": ""client_001"", ""0:1"": ""client_008"", ""0:2"": ""client_007"", ""0:3"": ""client_002"", ""1:0"": ""client_016"", ""1:1"": ""client_011"", ""1:2"": ""client_017"", ""1:3"": ""client_014""}"
81,0.798492968082428,0.7880879640579224,0.20810027420520782,0.05,0.587890625,2,4,8,8,"{""0:0"": ""client_002"", ""0:1"": ""client_001"", ""0:2"": ""client_007"", ""0:3"": ""client_005"", ""1:0"": ""client_012"", ""1:1"": ""client_010"", ""1:2"": ""client_013"", ""1:3"": ""client_011""}"
82,0.8681711554527283,0.8564695119857788,0.23403297364711761,0.05,0.544921875,2,4,8,8,"{""0:0"": ""client_003"", ""0:1"": ""client_004"", ""0:2"": ""client_008"", ""0:3"": ""client_000"", ""1:0"": ""client_017"", ""1:1"": ""client_015"", ""1:2"": ""client_019"", ""1:3"": ""client_018""}"
83,0.7995448112487793,0.7871015071868896,0.2488655298948288,0.05,0.61328125,2,4,8,8,"{""0:0"": ""client_009"", ""0:1"": ""client_006"", ""0:2"": ""client_001"", ""0:3"": ""client_008"", ""1:0"": ""client_016"", ""1:1"": ""client_014"", ""1:2"": ""client_018"", ""1:3"": ""client_011""}"
84,0.7888786196708679,0.7779008150100708,0.2195560783147812,0.05,0.591796875,2,4,8,8,"{""0:0"": ""client_005"", ""0:1"": ""client_002"", ""0:2"": ""client_003"", ""0:3"": ""client_000"", ""1:0"": ""client_019"", ""1:1"": ""client_015"", ""1:2"": ""client_013"", ""1:3"": ""client_010""}"
85,0.826985239982605,0.814566969871521,0.24836581945419312,0.05,0.583984375,2,4,8,8,"{""0:0"": ""client_007"", ""0:1"": ""client_004"", ""0:2"": ""client_009"", ""0:3"": ""client_006"", ""1:0"": ""client_012"", ""1:1"": ""client_017"", ""1:2"": ""client_016"", ""1:3"": ""client_014""}"
86,0.7553854584693909,0.7425824403762817,0.25605982542037964,0.05,0.6171875,2,4,8,8,"{""0:0"": ""client_004"", ""0:1"": ""client_001"", ""0:2"": ""client_006"", ""0:3"": ""client_005"", ""1:0"": ""client_014"", ""1:1"": ""client_018"", ""1:2"": ""client_011"", ""1:3"": ""client_010""}"
