round,loss,loss_cls,loss_align,lambda_align,accuracy,Q_star,r,K_t,grad_return_count,feature_map_json
1,2.54388427734375,2.4881386756896973,5.574549674987793,0.01,0.05859375,3,4,12,12,"{""0:0"": ""client_011"", ""0:1"": ""client_010"", ""0:2"": ""client_014"", ""0:3"": ""client_019"", ""1:0"": ""client_023"", ""1:1"": ""client_022"", ""1:2"": ""client_021"", ""1:3"": ""client_025"", ""2:0"": ""client_008"", ""2:1"": ""client_001"", ""2:2"": ""client_006"", ""2:3"": ""client_000""}"
2,2.5300862789154053,2.474578380584717,5.550802707672119,0.01,0.09375,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_011"", ""0:2"": ""client_013"", ""0:3"": ""client_018"", ""1:0"": ""client_028"", ""1:1"": ""client_020"", ""1:2"": ""client_023"", ""1:3"": ""client_025"", ""2:0"": ""client_008"", ""2:1"": ""client_006"", ""2:2"": ""client_003"", ""2:3"": ""client_007""}"
3,2.5281834602355957,2.473156452178955,5.502715110778809,0.01,0.09765625,3,4,12,12,"{""0:0"": ""client_019"", ""0:1"": ""client_014"", ""0:2"": ""client_010"", ""0:3"": ""client_016"", ""1:0"": ""client_022"", ""1:1"": ""client_026"", ""1:2"": ""client_025"", ""1:3"": ""client_029"", ""2:0"": ""client_002"", ""2:1"": ""client_003"", ""2:2"": ""client_005"", ""2:3"": ""client_000""}"
4,2.5176520347595215,2.46234393119812,5.530819892883301,0.01,0.14453125,3,4,12,12,"{""0:0"": ""client_011"", ""0:1"": ""client_016"", ""0:2"": ""client_019"", ""0:3"": ""client_012"", ""1:0"": ""client_025"", ""1:1"": ""client_024"", ""1:2"": ""client_020"", ""1:3"": ""client_029"", ""2:0"": ""client_007"", ""2:1"": ""client_008"", ""2:2"": ""client_001"", ""2:3"": ""client_003""}"
5,2.50349760055542,2.448361873626709,5.513570308685303,0.01,0.1875,3,4,12,12,"{""0:0"": ""client_011"", ""0:1"": ""client_018"", ""0:2"": ""client_014"", ""0:3"": ""client_016"", ""1:0"": ""client_029"", ""1:1"": ""client_025"", ""1:2"": ""client_023"", ""1:3"": ""client_028"", ""2:0"": ""client_001"", ""2:1"": ""client_000"", ""2:2"": ""client_003"", ""2:3"": ""client_006""}"
6,2.515162706375122,2.459813117980957,5.534962177276611,0.01,0.13671875,3,4,12,12,"{""0:0"": ""client_014"", ""0:1"": ""client_011"", ""0:2"": ""client_013"", ""0:3"": ""client_016"", ""1:0"": ""client_021"", ""1:1"": ""client_026"", ""1:2"": ""client_024"", ""1:3"": ""client_023"", ""2:0"": ""client_005"", ""2:1"": ""client_002"", ""2:2"": ""client_009"", ""2:3"": ""client_008""}"
7,2.5106942653656006,2.4550065994262695,5.568770885467529,0.01,0.16796875,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_014"", ""0:2"": ""client_011"", ""0:3"": ""client_018"", ""1:0"": ""client_022"", ""1:1"": ""client_028"", ""1:2"": ""client_023"", ""1:3"": ""client_021"", ""2:0"": ""client_007"", ""2:1"": ""client_006"", ""2:2"": ""client_004"", ""2:3"": ""client_005""}"
8,2.517935276031494,2.4617674350738525,5.616796970367432,0.01,0.1484375,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_013"", ""0:2"": ""client_015"", ""0:3"": ""client_016"", ""1:0"": ""client_020"", ""1:1"": ""client_023"", ""1:2"": ""client_029"", ""1:3"": ""client_026"", ""2:0"": ""client_005"", ""2:1"": ""client_006"", ""2:2"": ""client_004"", ""2:3"": ""client_000""}"
9,2.502345561981201,2.4468512535095215,5.5494303703308105,0.01,0.17578125,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_015"", ""0:2"": ""client_019"", ""0:3"": ""client_018"", ""1:0"": ""client_027"", ""1:1"": ""client_026"", ""1:2"": ""client_029"", ""1:3"": ""client_021"", ""2:0"": ""client_004"", ""2:1"": ""client_002"", ""2:2"": ""client_003"", ""2:3"": ""client_005""}"
10,2.4909896850585938,2.4351885318756104,5.580106735229492,0.01,0.15234375,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_019"", ""0:2"": ""client_014"", ""0:3"": ""client_015"", ""1:0"": ""client_029"", ""1:1"": ""client_026"", ""1:2"": ""client_028"", ""1:3"": ""client_022"", ""2:0"": ""client_003"", ""2:1"": ""client_002"", ""2:2"": ""client_007"", ""2:3"": ""client_000""}"
11,2.4554686546325684,2.400012493133545,5.5456438064575195,0.01,0.2265625,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_011"", ""0:2"": ""client_012"", ""0:3"": ""client_015"", ""1:0"": ""client_022"", ""1:1"": ""client_026"", ""1:2"": ""client_021"", ""1:3"": ""client_023"", ""2:0"": ""client_006"", ""2:1"": ""client_007"", ""2:2"": ""client_004"", ""2:3"": ""client_008""}"
12,2.449554920196533,2.393991470336914,5.556347370147705,0.01,0.19140625,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_011"", ""0:2"": ""client_014"", ""0:3"": ""client_016"", ""1:0"": ""client_025"", ""1:1"": ""client_021"", ""1:2"": ""client_024"", ""1:3"": ""client_023"", ""2:0"": ""client_002"", ""2:1"": ""client_007"", ""2:2"": ""client_000"", ""2:3"": ""client_005""}"
13,2.4409115314483643,2.3853912353515625,5.55204439163208,0.01,0.203125,3,4,12,12,"{""0:0"": ""client_014"", ""0:1"": ""client_018"", ""0:2"": ""client_012"", ""0:3"": ""client_019"", ""1:0"": ""client_021"", ""1:1"": ""client_024"", ""1:2"": ""client_023"", ""1:3"": ""client_029"", ""2:0"": ""client_005"", ""2:1"": ""client_002"", ""2:2"": ""client_000"", ""2:3"": ""client_004""}"
14,2.454049825668335,2.3982856273651123,5.576413631439209,0.01,0.17578125,3,4,12,12,"{""0:0"": ""client_015"", ""0:1"": ""client_017"", ""0:2"": ""client_010"", ""0:3"": ""client_018"", ""1:0"": ""client_025"", ""1:1"": ""client_024"", ""1:2"": ""client_023"", ""1:3"": ""client_020"", ""2:0"": ""client_003"", ""2:1"": ""client_001"", ""2:2"": ""client_008"", ""2:3"": ""client_005""}"
15,2.4386887550354004,2.3832948207855225,5.53939151763916,0.01,0.19140625,3,4,12,12,"{""0:0"": ""client_017"", ""0:1"": ""client_011"", ""0:2"": ""client_012"", ""0:3"": ""client_018"", ""1:0"": ""client_027"", ""1:1"": ""client_028"", ""1:2"": ""client_022"", ""1:3"": ""client_029"", ""2:0"": ""client_008"", ""2:1"": ""client_006"", ""2:2"": ""client_003"", ""2:3"": ""client_004""}"
16,2.4325428009033203,2.3767123222351074,5.583029747009277,0.01,0.2109375,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_014"", ""0:2"": ""client_016"", ""0:3"": ""client_015"", ""1:0"": ""client_025"", ""1:1"": ""client_027"", ""1:2"": ""client_028"", ""1:3"": ""client_020"", ""2:0"": ""client_003"", ""2:1"": ""client_009"", ""2:2"": ""client_001"", ""2:3"": ""client_002""}"
17,2.371150493621826,2.315227508544922,5.592291355133057,0.01,0.23046875,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_018"", ""0:2"": ""client_013"", ""0:3"": ""client_014"", ""1:0"": ""client_023"", ""1:1"": ""client_020"", ""1:2"": ""client_021"", ""1:3"": ""client_025"", ""2:0"": ""client_000"", ""2:1"": ""client_003"", ""2:2"": ""client_001"", ""2:3"": ""client_009""}"
18,2.3723487854003906,2.3163349628448486,5.601365089416504,0.01,0.2421875,3,4,12,12,"{""0:0"": ""client_015"", ""0:1"": ""client_011"", ""0:2"": ""client_013"", ""0:3"": ""client_012"", ""1:0"": ""client_027"", ""1:1"": ""client_023"", ""1:2"": ""client_022"", ""1:3"": ""client_025"", ""2:0"": ""client_009"", ""2:1"": ""client_007"", ""2:2"": ""client_003"", ""2:3"": ""client_006""}"
19,2.3274075984954834,2.271841287612915,5.5566182136535645,0.01,0.2421875,3,4,12,12,"{""0:0"": ""client_017"", ""0:1"": ""client_016"", ""0:2"": ""client_013"", ""0:3"": ""client_010"", ""1:0"": ""client_021"", ""1:1"": ""client_026"", ""1:2"": ""client_025"", ""1:3"": ""client_023"", ""2:0"": ""client_006"", ""2:1"": ""client_007"", ""2:2"": ""client_000"", ""2:3"": ""client_005""}"
20,2.293691635131836,2.237927198410034,5.5764265060424805,0.01,0.2734375,3,4,12,12,"{""0:0"": ""client_011"", ""0:1"": ""client_010"", ""0:2"": ""client_016"", ""0:3"": ""client_015"", ""1:0"": ""client_025"", ""1:1"": ""client_021"", ""1:2"": ""client_023"", ""1:3"": ""client_028"", ""2:0"": ""client_003"", ""2:1"": ""client_008"", ""2:2"": ""client_007"", ""2:3"": ""client_001""}"
21,2.317559003829956,2.2618112564086914,5.574774742126465,0.01,0.203125,3,4,12,12,"{""0:0"": ""client_016"", ""0:1"": ""client_012"", ""0:2"": ""client_014"", ""0:3"": ""client_013"", ""1:0"": ""client_023"", ""1:1"": ""client_021"", ""1:2"": ""client_027"", ""1:3"": ""client_026"", ""2:0"": ""client_008"", ""2:1"": ""client_001"", ""2:2"": ""client_000"", ""2:3"": ""client_005""}"
22,2.225005626678467,2.1694583892822266,5.554746627807617,0.01,0.28515625,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_010"", ""0:2"": ""client_011"", ""0:3"": ""client_016"", ""1:0"": ""client_023"", ""1:1"": ""client_022"", ""1:2"": ""client_026"", ""1:3"": ""client_029"", ""2:0"": ""client_007"", ""2:1"": ""client_003"", ""2:2"": ""client_006"", ""2:3"": ""client_000""}"
23,2.2967982292175293,2.240978479385376,5.581971168518066,0.01,0.203125,3,4,12,12,"{""0:0"": ""client_012"", ""0:1"": ""client_016"", ""0:2"": ""client_010"", ""0:3"": ""client_013"", ""1:0"": ""client_024"", ""1:1"": ""client_027"", ""1:2"": ""client_029"", ""1:3"": ""client_023"", ""2:0"": ""client_008"", ""2:1"": ""client_007"", ""2:2"": ""client_002"", ""2:3"": ""client_001""}"
24,2.294635772705078,2.2386889457702637,5.594668865203857,0.01,0.19140625,3,4,12,12,"{""0:0"": ""client_014"", ""0:1"": ""client_013"", ""0:2"": ""client_010"", ""0:3"": ""client_019"", ""1:0"": ""client_028"", ""1:1"": ""client_020"", ""1:2"": ""client_025"", ""1:3"": ""client_029"", ""2:0"": ""client_000"", ""2:1"": ""client_007"", ""2:2"": ""client_002"", ""2:3"": ""client_009""}"
25,2.1914148330688477,2.135077476501465,5.633722305297852,0.01,0.2265625,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_011"", ""0:2"": ""client_012"", ""0:3"": ""client_010"", ""1:0"": ""client_029"", ""1:1"": ""client_021"", ""1:2"": ""client_023"", ""1:3"": ""client_027"", ""2:0"": ""client_001"", ""2:1"": ""client_003"", ""2:2"": ""client_000"", ""2:3"": ""client_004""}"
26,2.142977714538574,2.087137460708618,5.584026336669922,0.01,0.25,3,4,12,12,"{""0:0"": ""client_011"", ""0:1"": ""client_016"", ""0:2"": ""client_015"", ""0:3"": ""client_012"", ""1:0"": ""client_023"", ""1:1"": ""client_025"", ""1:2"": ""client_029"", ""1:3"": ""client_022"", ""2:0"": ""client_006"", ""2:1"": ""client_002"", ""2:2"": ""client_004"", ""2:3"": ""client_003""}"
27,2.1108386516571045,2.0552587509155273,5.558012962341309,0.01,0.265625,3,4,12,12,"{""0:0"": ""client_015"", ""0:1"": ""client_011"", ""0:2"": ""client_010"", ""0:3"": ""client_013"", ""1:0"": ""client_029"", ""1:1"": ""client_021"", ""1:2"": ""client_028"", ""1:3"": ""client_024"", ""2:0"": ""client_003"", ""2:1"": ""client_008"", ""2:2"": ""client_004"", ""2:3"": ""client_001""}"
28,2.109553813934326,2.0537214279174805,5.583234786987305,0.01,0.3203125,3,4,12,12,"{""0:0"": ""client_015"", ""0:1"": ""client_011"", ""0:2"": ""client_013"", ""0:3"": ""client_012"", ""1:0"": ""client_024"", ""1:1"": ""client_022"", ""1:2"": ""client_027"", ""1:3"": ""client_026"", ""2:0"": ""client_008"", ""2:1"": ""client_004"", ""2:2"": ""client_000"", ""2:3"": ""client_005""}"
29,2.133208990097046,2.077230215072632,5.597867488861084,0.01,0.27734375,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_014"", ""0:2"": ""client_011"", ""0:3"": ""client_017"", ""1:0"": ""client_024"", ""1:1"": ""client_021"", ""1:2"": ""client_028"", ""1:3"": ""client_025"", ""2:0"": ""client_008"", ""2:1"": ""client_002"", ""2:2"": ""client_004"", ""2:3"": ""client_009""}"
30,2.0356855392456055,1.9796953201293945,5.599029064178467,0.01,0.2734375,3,4,12,12,"{""0:0"": ""client_019"", ""0:1"": ""client_013"", ""0:2"": ""client_015"", ""0:3"": ""client_011"", ""1:0"": ""client_024"", ""1:1"": ""client_028"", ""1:2"": ""client_027"", ""1:3"": ""client_022"", ""2:0"": ""client_000"", ""2:1"": ""client_001"", ""2:2"": ""client_006"", ""2:3"": ""client_007""}"
31,2.0563676357269287,2.000649929046631,5.571783065795898,0.01,0.2734375,3,4,12,12,"{""0:0"": ""client_014"", ""0:1"": ""client_010"", ""0:2"": ""client_018"", ""0:3"": ""client_012"", ""1:0"": ""client_022"", ""1:1"": ""client_024"", ""1:2"": ""client_029"", ""1:3"": ""client_025"", ""2:0"": ""client_007"", ""2:1"": ""client_008"", ""2:2"": ""client_006"", ""2:3"": ""client_004""}"
32,1.9330791234970093,1.877105474472046,5.597360610961914,0.01,0.33203125,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_011"", ""0:2"": ""client_018"", ""0:3"": ""client_015"", ""1:0"": ""client_022"", ""1:1"": ""client_028"", ""1:2"": ""client_020"", ""1:3"": ""client_026"", ""2:0"": ""client_005"", ""2:1"": ""client_008"", ""2:2"": ""client_002"", ""2:3"": ""client_003""}"
33,1.8692585229873657,1.8137457370758057,5.551273345947266,0.01,0.3671875,3,4,12,12,"{""0:0"": ""client_012"", ""0:1"": ""client_010"", ""0:2"": ""client_014"", ""0:3"": ""client_019"", ""1:0"": ""client_020"", ""1:1"": ""client_025"", ""1:2"": ""client_023"", ""1:3"": ""client_028"", ""2:0"": ""client_003"", ""2:1"": ""client_001"", ""2:2"": ""client_005"", ""2:3"": ""client_006""}"
34,1.9341201782226562,1.8776975870132446,5.6422529220581055,0.01,0.32421875,3,4,12,12,"{""0:0"": ""client_018"", ""0:1"": ""client_016"", ""0:2"": ""client_012"", ""0:3"": ""client_011"", ""1:0"": ""client_022"", ""1:1"": ""client_029"", ""1:2"": ""client_026"", ""1:3"": ""client_020"", ""2:0"": ""client_002"", ""2:1"": ""client_005"", ""2:2"": ""client_006"", ""2:3"": ""client_007""}"
35,1.8781431913375854,1.8220670223236084,5.607626438140869,0.01,0.39453125,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_014"", ""0:2"": ""client_012"", ""0:3"": ""client_016"", ""1:0"": ""client_021"", ""1:1"": ""client_026"", ""1:2"": ""client_020"", ""1:3"": ""client_028"", ""2:0"": ""client_007"", ""2:1"": ""client_003"", ""2:2"": ""client_008"", ""2:3"": ""client_006""}"
36,1.8225133419036865,1.7660460472106934,5.646737575531006,0.01,0.4296875,3,4,12,12,"{""0:0"": ""client_017"", ""0:1"": ""client_015"", ""0:2"": ""client_014"", ""0:3"": ""client_016"", ""1:0"": ""client_023"", ""1:1"": ""client_029"", ""1:2"": ""client_020"", ""1:3"": ""client_025"", ""2:0"": ""client_003"", ""2:1"": ""client_006"", ""2:2"": ""client_005"", ""2:3"": ""client_002""}"
37,1.8387813568115234,1.7826826572418213,5.609864234924316,0.01,0.44140625,3,4,12,12,"{""0:0"": ""client_011"", ""0:1"": ""client_014"", ""0:2"": ""client_015"", ""0:3"": ""client_017"", ""1:0"": ""client_028"", ""1:1"": ""client_026"", ""1:2"": ""client_025"", ""1:3"": ""client_020"", ""2:0"": ""client_001"", ""2:1"": ""client_004"", ""2:2"": ""client_002"", ""2:3"": ""client_008""}"
38,1.7225208282470703,1.666576862335205,5.594402313232422,0.01,0.5,3,4,12,12,"{""0:0"": ""client_014"", ""0:1"": ""client_010"", ""0:2"": ""client_011"", ""0:3"": ""client_019"", ""1:0"": ""client_026"", ""1:1"": ""client_025"", ""1:2"": ""client_028"", ""1:3"": ""client_023"", ""2:0"": ""client_009"", ""2:1"": ""client_008"", ""2:2"": ""client_001"", ""2:3"": ""client_003""}"
39,1.696232795715332,1.6401636600494385,5.606918811798096,0.01,0.48828125,3,4,12,12,"{""0:0"": ""client_019"", ""0:1"": ""client_013"", ""0:2"": ""client_014"", ""0:3"": ""client_010"", ""1:0"": ""client_026"", ""1:1"": ""client_020"", ""1:2"": ""client_023"", ""1:3"": ""client_022"", ""2:0"": ""client_006"", ""2:1"": ""client_001"", ""2:2"": ""client_005"", ""2:3"": ""client_004""}"
40,1.615051031112671,1.5590237379074097,5.6027398109436035,0.01,0.55078125,3,4,12,12,"{""0:0"": ""client_015"", ""0:1"": ""client_011"", ""0:2"": ""client_014"", ""0:3"": ""client_017"", ""1:0"": ""client_024"", ""1:1"": ""client_026"", ""1:2"": ""client_025"", ""1:3"": ""client_023"", ""2:0"": ""client_004"", ""2:1"": ""client_008"", ""2:2"": ""client_002"", ""2:3"": ""client_001""}"
41,1.6441112756729126,1.5882043838500977,5.590697765350342,0.01,0.5546875,3,4,12,12,"{""0:0"": ""client_016"", ""0:1"": ""client_019"", ""0:2"": ""client_012"", ""0:3"": ""client_014"", ""1:0"": ""client_029"", ""1:1"": ""client_024"", ""1:2"": ""client_026"", ""1:3"": ""client_028"", ""2:0"": ""client_000"", ""2:1"": ""client_004"", ""2:2"": ""client_008"", ""2:3"": ""client_001""}"
42,1.6081455945968628,1.5524595975875854,5.568592548370361,0.01,0.57421875,3,4,12,12,"{""0:0"": ""client_016"", ""0:1"": ""client_015"", ""0:2"": ""client_017"", ""0:3"": ""client_013"", ""1:0"": ""client_027"", ""1:1"": ""client_023"", ""1:2"": ""client_029"", ""1:3"": ""client_026"", ""2:0"": ""client_002"", ""2:1"": ""client_001"", ""2:2"": ""client_004"", ""2:3"": ""client_007""}"
43,1.4480271339416504,1.391883373260498,5.614364147186279,0.01,0.63671875,3,4,12,12,"{""0:0"": ""client_019"", ""0:1"": ""client_015"", ""0:2"": ""client_011"", ""0:3"": ""client_016"", ""1:0"": ""client_023"", ""1:1"": ""client_024"", ""1:2"": ""client_029"", ""1:3"": ""client_026"", ""2:0"": ""client_003"", ""2:1"": ""client_002"", ""2:2"": ""client_000"", ""2:3"": ""client_007""}"
44,1.4235994815826416,1.367244005203247,5.635548114776611,0.01,0.59765625,3,4,12,12,"{""0:0"": ""client_013"", ""0:1"": ""client_017"", ""0:2"": ""client_011"", ""0:3"": ""client_019"", ""1:0"": ""client_026"", ""1:1"": ""client_023"", ""1:2"": ""client_029"", ""1:3"": ""client_028"", ""2:0"": ""client_006"", ""2:1"": ""client_003"", ""2:2"": ""client_002"", ""2:3"": ""client_005""}"
45,1.5423831939697266,1.4852964878082275,5.708686828613281,0.01,0.59375,3,4,12,12,"{""0:0"": ""client_010"", ""0:1"": ""client_011"", ""0:2"": ""client_016"", ""0:3"": ""client_018"", ""1:0"": ""client_022"", ""1:1"": ""client_028"", ""1:2"": ""client_027"", ""1:3"": ""client_020"", ""2:0"": ""client_008"", ""2:1"": ""client_003"", ""2:2"": ""client_001"", ""2:3"": ""client_009""}"
