client_id,true_modality,pred_cluster
client_000,acc,0
client_001,acc,0
client_002,acc,0
client_003,acc,0
client_004,acc,0
client_005,acc,0
client_006,acc,0
client_007,acc,0
client_008,acc,0
client_009,acc,0
client_010,gyro,1
client_011,gyro,1
client_012,gyro,1
client_013,gyro,1
client_014,gyro,1
client_015,gyro,1
client_016,gyro,1
client_017,gyro,1
client_018,gyro,1
client_019,gyro,1
