group,accuracy_mean,accuracy_std,count,coverage_mean,coverage_std,failed,final_loss_mean,final_loss_std,loss_std_mean,loss_std_std,macro_f1_mean,macro_f1_std,pseudo_yield_mean,pseudo_yield_std,repair_rate
mhealth_kmeans2,0.08632379369027932,0.006406158809569958,5,1.0,0.0,0,2.483560877306244,0.0003784322189016141,0.0,0.0,0.0132386590268258,0.0009098614356497186,1.0,0.0,0.0
mhealth_kmeans3,0.08947786288852054,0.0014241813104617907,5,1.0,0.0,0,2.4841932391051147,0.00041669902307851894,0.0,0.0,0.013687926425219063,0.00019963682501969506,1.0,0.0,0.0
mhealth_kmeans5,0.07946603555019492,0.013641386968733182,5,1.0,0.0,0,2.4865759444034086,0.00026170262962753554,0.0,0.0,0.015309637179801624,0.004098627046877654,1.0,0.0,0.2
mhealth_oracle,0.08539342585124199,0.00612151710195149,5,1.0,0.0,0,2.484104025256463,0.0007995066988635874,0.0,0.0,0.013107624913051735,0.0008670685132156164,1.0,0.0,0.0
mhealth_ours,0.09137719812118911,0.003957759631718869,5,1.0,0.0,0,2.486506872777717,0.0007246763238660132,0.0,0.0,0.019231894470085872,0.011069277552833639,1.0,0.0,0.0
mhealth_randomsl,0.09978497178902167,0.017170694555122257,5,0.8,0.0666666666666667,0,2.4867373167391906,0.0006064450557505633,0.0,0.0,0.022339546762007643,0.011028888706013151,0.0,0.0,0.0
