global_round,round,loss,train_total_loss,mean_loss,classification_loss,train_classification_loss,contrastive_loss,train_contrastive_loss,heterogeneous_loss,train_heterogeneous_loss,weighted_classification_loss,weighted_contrastive_loss,weighted_heterogeneous_loss,accuracy,train_accuracy,macro_f1,train_macro_f1,weighted_f1,K_t,pseudo_batch_size,pseudo_yield,total_pseudo_samples,mean_pseudo_batch_size,common_labels_json,local_step_common_labels_json,binding_success,empty_binding_round,empty_binding,empty_binding_rounds,binding_success_rate,configured_local_steps,attempted_local_steps,effective_local_steps,empty_binding_local_steps,round_binding_success_rate,coverage,cluster_slot_coverage,participation_fairness,latency,server_update_l1,client_update_l1,fusion_training_objective,binding_confidence_mean,selected_client_ids,selected_cluster_ids,expected_cluster_ids,clients_per_cluster_per_round,per_cluster_selected_json,round_status
11,11,4.137857913970947,4.137857913970947,4.137857913970947,2.4658584594726562,2.4658584594726562,4.316557884216309,4.316557884216309,2.480687141418457,2.480687141418457,2.4658584594726562,0.43165579438209534,1.2403435707092285,0.203125,0.203125,0.11152597402597401,0.11152597402597401,0.12025669642857142,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.968,0.17846780503168702,0.2931555509567261,409.40041354618734,mmbind_weighted_contrastive,1.0,"[""client_034"", ""client_038"", ""client_012"", ""client_018"", ""client_007"", ""client_027"", ""client_000"", ""client_021""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
12,12,4.146257400512695,4.146257400512695,4.146257400512695,2.473339319229126,2.473339319229126,4.315873146057129,4.315873146057129,2.4826619625091553,2.4826619625091553,2.473339319229126,0.4315873086452484,1.2413309812545776,0.140625,0.140625,0.053542673107890494,0.053542673107890494,0.051932367149758456,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.96,0.15155738312751055,0.27108341455459595,411.11060934586567,mmbind_weighted_contrastive,1.0,"[""client_026"", ""client_002"", ""client_029"", ""client_001"", ""client_033"", ""client_014"", ""client_017"", ""client_031""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
13,13,4.1410112380981445,4.1410112380981445,4.1410112380981445,2.4655301570892334,2.4655301570892334,4.347212314605713,4.347212314605713,2.4815192222595215,2.4815192222595215,2.4655301570892334,0.4347212314605713,1.2407596111297607,0.15625,0.15625,0.07878637566137565,0.07878637566137565,0.07973710317460317,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.9657142857142857,0.15809720708057284,0.2452487051486969,411.7306158649444,mmbind_weighted_contrastive,1.0,"[""client_013"", ""client_006"", ""client_024"", ""client_036"", ""client_028"", ""client_016"", ""client_032"", ""client_009""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
14,14,4.141993522644043,4.141993522644043,4.141993522644043,2.465604543685913,2.465604543685913,4.3542280197143555,4.3542280197143555,2.481931686401367,2.481931686401367,2.465604543685913,0.4354228079319,1.2409658432006836,0.171875,0.171875,0.0761904761904762,0.0761904761904762,0.09910714285714287,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.98,0.15321936085820198,0.17904159426689148,406.19811536057387,mmbind_weighted_contrastive,1.0,"[""client_011"", ""client_019"", ""client_003"", ""client_008"", ""client_035"", ""client_025"", ""client_030"", ""client_022""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
15,15,4.140495300292969,4.140495300292969,4.140495300292969,2.4696033000946045,2.4696033000946045,4.324549674987793,4.324549674987793,2.4768741130828857,2.4768741130828857,2.4696033000946045,0.4324549734592438,1.2384370565414429,0.125,0.125,0.06043956043956044,0.06043956043956044,0.0724587912087912,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,1.0,0.1498994347639382,0.17086124420166016,403.6329351424356,mmbind_weighted_contrastive,1.0,"[""client_005"", ""client_020"", ""client_039"", ""client_015"", ""client_010"", ""client_037"", ""client_023"", ""client_004""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
16,16,4.128396034240723,4.128396034240723,4.128396034240723,2.44773006439209,2.44773006439209,4.427663326263428,4.427663326263428,2.4757986068725586,2.4757986068725586,2.44773006439209,0.44276633858680725,1.2378993034362793,0.234375,0.234375,0.1552043422733078,0.1552043422733078,0.18942768199233717,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.9846153846153847,0.1531316959299147,0.10555621981620789,405.9477030033595,mmbind_weighted_contrastive,1.0,"[""client_017"", ""client_036"", ""client_023"", ""client_033"", ""client_028"", ""client_011"", ""client_000"", ""client_007""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
17,17,4.114842891693115,4.114842891693115,4.114842891693115,2.4441745281219482,2.4441745281219482,4.344747543334961,4.344747543334961,2.4723873138427734,2.4723873138427734,2.4441745281219482,0.43447476625442505,1.2361936569213867,0.234375,0.234375,0.12694622450720014,0.12694622450720014,0.15397179040471726,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.9796610169491525,0.16838971991091967,0.05394303798675537,412.0836844704463,mmbind_weighted_contrastive,1.0,"[""client_021"", ""client_027"", ""client_030"", ""client_010"", ""client_019"", ""client_031"", ""client_008"", ""client_001""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
18,18,4.103278160095215,4.103278160095215,4.103278160095215,2.4379618167877197,2.4379618167877197,4.278297424316406,4.278297424316406,2.474973201751709,2.474973201751709,2.4379618167877197,0.4278297424316406,1.2374866008758545,0.328125,0.328125,0.20714285714285716,0.20714285714285716,0.25163690476190476,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.9818181818181818,0.16245971387252212,0.014540106058120728,405.4113728955854,mmbind_weighted_contrastive,1.0,"[""client_038"", ""client_003"", ""client_035"", ""client_002"", ""client_029"", ""client_014"", ""client_026"", ""client_015""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
19,19,4.113790988922119,4.113790988922119,4.113790988922119,2.452270746231079,2.452270746231079,4.229742050170898,4.229742050170898,2.4770925045013428,2.4770925045013428,2.452270746231079,0.42297419905662537,1.2385462522506714,0.234375,0.234375,0.11945631528964862,0.11945631528964862,0.1477653133903134,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,0.989041095890411,0.15619423100724816,0.04408156871795654,405.79397911246633,mmbind_weighted_contrastive,1.0,"[""client_005"", ""client_016"", ""client_006"", ""client_024"", ""client_013"", ""client_032"", ""client_037"", ""client_022""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
20,20,4.102543354034424,4.102543354034424,4.102543354034424,2.4412143230438232,2.4412143230438232,4.272754669189453,4.272754669189453,2.468107223510742,2.468107223510742,2.4412143230438232,0.42727547883987427,1.234053611755371,0.1875,0.1875,0.0999172870140612,0.0999172870140612,0.12128308519437551,8,64,1.0,64,64.0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]]",1.0,0,0,0,1.0,1,1,1,0,1.0,1.0,1.0,1.0,0.1543405600823462,0.0913439393043518,399.0574982999824,mmbind_weighted_contrastive,1.0,"[""client_025"", ""client_004"", ""client_012"", ""client_039"", ""client_009"", ""client_020"", ""client_018"", ""client_034""]","[0, 1, 2, 3]","[0, 1, 2, 3]",2,"{""0"": 2, ""1"": 2, ""2"": 2, ""3"": 2}",effective
