round,loss,loss_cls,loss_align,lambda_align,accuracy,Q_star,r,K_t,grad_return_count,feature_map_json
1,2.5302023887634277,2.5197112560272217,0.20982450246810913,0.05,0.05078125,4,4,16,16,"{""0:0"": ""client_011"", ""0:1"": ""client_010"", ""0:2"": ""client_014"", ""0:3"": ""client_019"", ""1:0"": ""client_033"", ""1:1"": ""client_032"", ""1:2"": ""client_031"", ""1:3"": ""client_035"", ""2:0"": ""client_008"", ""2:1"": ""client_001"", ""2:2"": ""client_006"", ""2:3"": ""client_000"", ""3:0"": ""client_020"", ""3:1"": ""client_021"", ""3:2"": ""client_023"", ""3:3"": ""client_028""}"
2,2.4777016639709473,2.4668149948120117,0.21772746741771698,0.05,0.15234375,4,4,16,16,"{""0:0"": ""client_018"", ""0:1"": ""client_010"", ""0:2"": ""client_013"", ""0:3"": ""client_015"", ""1:0"": ""client_038"", ""1:1"": ""client_036"", ""1:2"": ""client_033"", ""1:3"": ""client_037"", ""2:0"": ""client_009"", ""2:1"": ""client_004"", ""2:2"": ""client_000"", ""2:3"": ""client_006"", ""3:0"": ""client_022"", ""3:1"": ""client_026"", ""3:2"": ""client_025"", ""3:3"": ""client_029""}"
3,2.4432895183563232,2.4326274394989014,0.2132396548986435,0.05,0.2265625,4,4,16,16,"{""0:0"": ""client_012"", ""0:1"": ""client_013"", ""0:2"": ""client_015"", ""0:3"": ""client_010"", ""1:0"": ""client_031"", ""1:1"": ""client_036"", ""1:2"": ""client_039"", ""1:3"": ""client_032"", ""2:0"": ""client_005"", ""2:1"": ""client_004"", ""2:2"": ""client_000"", ""2:3"": ""client_009"", ""3:0"": ""client_027"", ""3:1"": ""client_028"", ""3:2"": ""client_021"", ""3:3"": ""client_023""}"
4,2.4115679264068604,2.4006924629211426,0.2175058126449585,0.05,0.2421875,4,4,16,16,"{""0:0"": ""client_011"", ""0:1"": ""client_018"", ""0:2"": ""client_014"", ""0:3"": ""client_016"", ""1:0"": ""client_039"", ""1:1"": ""client_035"", ""1:2"": ""client_033"", ""1:3"": ""client_038"", ""2:0"": ""client_001"", ""2:1"": ""client_000"", ""2:2"": ""client_003"", ""2:3"": ""client_006"", ""3:0"": ""client_024"", ""3:1"": ""client_021"", ""3:2"": ""client_023"", ""3:3"": ""client_026""}"
5,2.3816158771514893,2.3703134059906006,0.22605019807815552,0.05,0.31640625,4,4,16,16,"{""0:0"": ""client_011"", ""0:1"": ""client_016"", ""0:2"": ""client_014"", ""0:3"": ""client_013"", ""1:0"": ""client_035"", ""1:1"": ""client_032"", ""1:2"": ""client_039"", ""1:3"": ""client_038"", ""2:0"": ""client_003"", ""2:1"": ""client_004"", ""2:2"": ""client_001"", ""2:3"": ""client_008"", ""3:0"": ""client_022"", ""3:1"": ""client_028"", ""3:2"": ""client_023"", ""3:3"": ""client_021""}"
6,2.3399405479431152,2.3298749923706055,0.20131097733974457,0.05,0.390625,4,4,16,16,"{""0:0"": ""client_017"", ""0:1"": ""client_016"", ""0:2"": ""client_014"", ""0:3"": ""client_015"", ""1:0"": ""client_038"", ""1:1"": ""client_033"", ""1:2"": ""client_035"", ""1:3"": ""client_036"", ""2:0"": ""client_000"", ""2:1"": ""client_003"", ""2:2"": ""client_009"", ""2:3"": ""client_006"", ""3:0"": ""client_025"", ""3:1"": ""client_026"", ""3:2"": ""client_024"", ""3:3"": ""client_020""}"
7,2.340442657470703,2.3298187255859375,0.21247990429401398,0.05,0.34765625,4,4,16,16,"{""0:0"": ""client_013"", ""0:1"": ""client_015"", ""0:2"": ""client_019"", ""0:3"": ""client_018"", ""1:0"": ""client_037"", ""1:1"": ""client_036"", ""1:2"": ""client_039"", ""1:3"": ""client_031"", ""2:0"": ""client_004"", ""2:1"": ""client_002"", ""2:2"": ""client_003"", ""2:3"": ""client_005"", ""3:0"": ""client_028"", ""3:1"": ""client_029"", ""3:2"": ""client_024"", ""3:3"": ""client_025""}"
8,2.281691551208496,2.2708945274353027,0.2159411460161209,0.05,0.4609375,4,4,16,16,"{""0:0"": ""client_019"", ""0:1"": ""client_016"", ""0:2"": ""client_018"", ""0:3"": ""client_012"", ""1:0"": ""client_033"", ""1:1"": ""client_032"", ""1:2"": ""client_037"", ""1:3"": ""client_030"", ""2:0"": ""client_000"", ""2:1"": ""client_001"", ""2:2"": ""client_002"", ""2:3"": ""client_005"", ""3:0"": ""client_022"", ""3:1"": ""client_026"", ""3:2"": ""client_021"", ""3:3"": ""client_023""}"
9,2.2580442428588867,2.2468647956848145,0.2235836684703827,0.05,0.45703125,4,4,16,16,"{""0:0"": ""client_016"", ""0:1"": ""client_017"", ""0:2"": ""client_014"", ""0:3"": ""client_018"", ""1:0"": ""client_030"", ""1:1"": ""client_031"", ""1:2"": ""client_034"", ""1:3"": ""client_036"", ""2:0"": ""client_005"", ""2:1"": ""client_001"", ""2:2"": ""client_004"", ""2:3"": ""client_003"", ""3:0"": ""client_022"", ""3:1"": ""client_027"", ""3:2"": ""client_020"", ""3:3"": ""client_025""}"
10,2.1861648559570312,2.173962354660034,0.24405574798583984,0.05,0.54296875,4,4,16,16,"{""0:0"": ""client_014"", ""0:1"": ""client_018"", ""0:2"": ""client_012"", ""0:3"": ""client_019"", ""1:0"": ""client_031"", ""1:1"": ""client_034"", ""1:2"": ""client_033"", ""1:3"": ""client_039"", ""2:0"": ""client_005"", ""2:1"": ""client_002"", ""2:2"": ""client_000"", ""2:3"": ""client_004"", ""3:0"": ""client_025"", ""3:1"": ""client_027"", ""3:2"": ""client_020"", ""3:3"": ""client_028""}"
11,2.1763854026794434,2.165271043777466,0.22228416800498962,0.05,0.50390625,4,4,16,16,"{""0:0"": ""client_015"", ""0:1"": ""client_014"", ""0:2"": ""client_013"", ""0:3"": ""client_010"", ""1:0"": ""client_033"", ""1:1"": ""client_031"", ""1:2"": ""client_038"", ""1:3"": ""client_035"", ""2:0"": ""client_007"", ""2:1"": ""client_001"", ""2:2"": ""client_002"", ""2:3"": ""client_008"", ""3:0"": ""client_027"", ""3:1"": ""client_028"", ""3:2"": ""client_022"", ""3:3"": ""client_029""}"
12,2.074867010116577,2.0628466606140137,0.24040547013282776,0.05,0.53125,4,4,16,16,"{""0:0"": ""client_018"", ""0:1"": ""client_016"", ""0:2"": ""client_013"", ""0:3"": ""client_014"", ""1:0"": ""client_033"", ""1:1"": ""client_034"", ""1:2"": ""client_036"", ""1:3"": ""client_035"", ""2:0"": ""client_005"", ""2:1"": ""client_007"", ""2:2"": ""client_008"", ""2:3"": ""client_000"", ""3:0"": ""client_023"", ""3:1"": ""client_029"", ""3:2"": ""client_021"", ""3:3"": ""client_022""}"
13,1.938589334487915,1.925927758216858,0.25323373079299927,0.05,0.609375,4,4,16,16,"{""0:0"": ""client_010"", ""0:1"": ""client_018"", ""0:2"": ""client_013"", ""0:3"": ""client_014"", ""1:0"": ""client_033"", ""1:1"": ""client_030"", ""1:2"": ""client_031"", ""1:3"": ""client_035"", ""2:0"": ""client_000"", ""2:1"": ""client_003"", ""2:2"": ""client_001"", ""2:3"": ""client_009"", ""3:0"": ""client_025"", ""3:1"": ""client_021"", ""3:2"": ""client_023"", ""3:3"": ""client_022""}"
14,1.980177402496338,1.967207431793213,0.25940144062042236,0.05,0.515625,4,4,16,16,"{""0:0"": ""client_017"", ""0:1"": ""client_013"", ""0:2"": ""client_012"", ""0:3"": ""client_015"", ""1:0"": ""client_039"", ""1:1"": ""client_037"", ""1:2"": ""client_033"", ""1:3"": ""client_036"", ""2:0"": ""client_007"", ""2:1"": ""client_006"", ""2:2"": ""client_003"", ""2:3"": ""client_000"", ""3:0"": ""client_021"", ""3:1"": ""client_026"", ""3:2"": ""client_025"", ""3:3"": ""client_023""}"
15,1.8770455121994019,1.8639695644378662,0.26151663064956665,0.05,0.59375,4,4,16,16,"{""0:0"": ""client_016"", ""0:1"": ""client_017"", ""0:2"": ""client_010"", ""0:3"": ""client_015"", ""1:0"": ""client_031"", ""1:1"": ""client_030"", ""1:2"": ""client_036"", ""1:3"": ""client_035"", ""2:0"": ""client_005"", ""2:1"": ""client_001"", ""2:2"": ""client_003"", ""2:3"": ""client_008"", ""3:0"": ""client_023"", ""3:1"": ""client_028"", ""3:2"": ""client_027"", ""3:3"": ""client_021""}"
16,1.7736010551452637,1.7598116397857666,0.2757888734340668,0.05,0.56640625,4,4,16,16,"{""0:0"": ""client_016"", ""0:1"": ""client_012"", ""0:2"": ""client_014"", ""0:3"": ""client_013"", ""1:0"": ""client_033"", ""1:1"": ""client_031"", ""1:2"": ""client_037"", ""1:3"": ""client_036"", ""2:0"": ""client_008"", ""2:1"": ""client_001"", ""2:2"": ""client_000"", ""2:3"": ""client_005"", ""3:0"": ""client_028"", ""3:1"": ""client_020"", ""3:2"": ""client_021"", ""3:3"": ""client_026""}"
17,1.8291919231414795,1.814838171005249,0.28707200288772583,0.05,0.55078125,4,4,16,16,"{""0:0"": ""client_013"", ""0:1"": ""client_012"", ""0:2"": ""client_016"", ""0:3"": ""client_019"", ""1:0"": ""client_037"", ""1:1"": ""client_033"", ""1:2"": ""client_036"", ""1:3"": ""client_030"", ""2:0"": ""client_002"", ""2:1"": ""client_006"", ""2:2"": ""client_000"", ""2:3"": ""client_003"", ""3:0"": ""client_024"", ""3:1"": ""client_027"", ""3:2"": ""client_029"", ""3:3"": ""client_023""}"
18,1.708739995956421,1.693488597869873,0.30503013730049133,0.05,0.640625,4,4,16,16,"{""0:0"": ""client_018"", ""0:1"": ""client_017"", ""0:2"": ""client_012"", ""0:3"": ""client_011"", ""1:0"": ""client_034"", ""1:1"": ""client_033"", ""1:2"": ""client_030"", ""1:3"": ""client_039"", ""2:0"": ""client_008"", ""2:1"": ""client_000"", ""2:2"": ""client_005"", ""2:3"": ""client_009"", ""3:0"": ""client_020"", ""3:1"": ""client_027"", ""3:2"": ""client_022"", ""3:3"": ""client_029""}"
19,1.543333888053894,1.5269558429718018,0.32756441831588745,0.05,0.6328125,4,4,16,16,"{""0:0"": ""client_018"", ""0:1"": ""client_011"", ""0:2"": ""client_012"", ""0:3"": ""client_010"", ""1:0"": ""client_039"", ""1:1"": ""client_031"", ""1:2"": ""client_033"", ""1:3"": ""client_037"", ""2:0"": ""client_001"", ""2:1"": ""client_003"", ""2:2"": ""client_000"", ""2:3"": ""client_004"", ""3:0"": ""client_021"", ""3:1"": ""client_026"", ""3:2"": ""client_025"", ""3:3"": ""client_022""}"
